,word,pos,lemma
10714,Boeing,NP,Boeing
10715,747,NP,747
10716,Jumbo,JJ,jumbo
10717,Jet,NP,Jet
10718,Aircraft,NP,Aircraft
10719,exterior,JJ,exterior
10720,Land,NN,land
10721,with,IN,with
10722,reverse,JJ,reverse
10723,thrust,NN,thrust
10724,Boeing,NP,Boeing
10725,747,NP,747
10726,Jumbo,JJ,jumbo
10727,Jet,NP,Jet
10728,Aircraft,NP,Aircraft
10729,exterior,JJ,exterior
10730,land,NN,land
10731,with,IN,with
10732,reverse,JJ,reverse
10733,thrust,NN,thrust
10734,Boeing,NP,Boeing
10735,747,NP,747
10736,Jumbo,JJ,jumbo
10737,Jet,NP,Jet
10738,Aircraft,NP,Aircraft
10739,exterior,NN,exterior
10740,take,VV,take
10741,off,RP,off
10742,Boeing,NP,Boeing
10743,747,NP,747
10744,Jumbo,JJ,jumbo
10745,Jet,NP,Jet
10746,Aircraft,NP,Aircraft
10747,exterior,JJ,exterior
10748,taxi,NN,taxi
10749,Boeing,NP,Boeing
10750,747,NP,747
10751,Aircraft,NP,Aircraft
10752,passing,VVG,pass
10753,overhead,JJ,overhead
10754,Exterior,NP,Exterior
10755,707,CD,@card@
10756,long-range,JJ,long-range
10757,airliner,NN,airliner
10758,4,CD,@card@
10759,jet,NN,jet
10760,engines,NNS,engine
10761,Boeing,NP,Boeing
10762,747,NP,747
10763,Jumbo,JJ,jumbo
10764,Jet,NP,Jet
10765,Aircraft,NP,Aircraft
10766,Atmos,NP,Atmos
10767,in,IN,in
10768,2nd,JJ,2nd
10769,class,NN,class
10770,economy,NN,economy
10771,cabin,NN,cabin
10772,constant,JJ,constant
10773,flight,NN,flight
10774,Boeing,NP,Boeing
10775,747,NP,747
10776,Jumbo,JJ,jumbo
10777,Jet,NP,Jet
10778,Aircraft,NP,Aircraft
10779,Atmos,NP,Atmos
10780,upstairs,NN,upstairs
10781,in,IN,in
10782,1st,JJ,1st
10783,class,NN,class
10784,lounge,NN,lounge
10785,climb,NN,climb
10786,&,CC,&
10787,into,IN,into
10788,constant,JJ,constant
10789,flight,NN,flight
10790,Boeing,NP,Boeing
10791,747,NP,747
10792,Jumbo,JJ,jumbo
10793,Jet,NP,Jet
10794,Aircraft,NP,Aircraft
10795,final,JJ,final
10796,approach,NN,approach
10797,and,CC,and
10798,land,NN,land
10799,Interior,NP,Interior
10800,747,NP,747
10801,giant,JJ,giant
10802,long-range,JJ,long-range
10803,airliner,NN,airliner
10804,4,CD,@card@
10805,jet,NN,jet
10806,engines,NNS,engine
10807,Boeing,NP,Boeing
10808,747,NP,747
10809,Jumbo,JJ,jumbo
10810,Jet,NP,Jet
10811,Aircraft,NP,Aircraft
10812,interior,JJ,interior
10813,taxi-ing,NN,taxi-ing
10814,Interior,NP,Interior
10815,747,NP,747
10816,giant,JJ,giant
10817,long-range,JJ,long-range
10818,airliner,NN,airliner
10819,4,CD,@card@
10820,jet,NN,jet
10821,engines,NNS,engine
10822,Boeing,NP,Boeing
10823,747,NP,747
10824,Jumbo,JJ,jumbo
10825,Jet,NP,Jet
10826,Aircraft,NP,Aircraft
10827,stationary,JJ,stationary
10828,aircraft,NN,aircraft
10829,with,IN,with
10830,APU,NP,APU
10831,running,VVG,run
10832,Interior,NP,Interior
10833,747,NP,747
10834,giant,JJ,giant
10835,long-range,JJ,long-range
10836,airliner,NN,airliner
10837,4,CD,@card@
10838,jet,NN,jet
10839,engines,NNS,engine
10840,Boeing,NP,Boeing
10841,747,NP,747
10842,Jumbo,JJ,jumbo
10843,Jet,NP,Jet
10844,Aircraft,NP,Aircraft
10845,take,VV,take
10846,off,RP,off
10847,and,CC,and
10848,climb,VV,climb
10849,recorded,VVN,record
10850,from,IN,from
10851,seat,NN,seat
10852,in,IN,in
10853,middle,NN,middle
10854,of,IN,of
10855,plane,NN,plane
10856,Interior,NP,Interior
10857,747,NP,747
10858,giant,JJ,giant
10859,long-range,JJ,long-range
10860,airliner,NN,airliner
10861,4,CD,@card@
10862,jet,NN,jet
10863,engines,NNS,engine
10864,Boeing,NP,Boeing
10865,747,NP,747
10866,Jumbo,JJ,jumbo
10867,Jet,NP,Jet
10868,Aircraft,NP,Aircraft
10869,take,VV,take
10870,off,RP,off
10871,and,CC,and
10872,climb,VV,climb
10873,recorded,VVN,record
10874,from,IN,from
10875,upstairs,NN,upstairs
10876,in,IN,in
10877,1st,JJ,1st
10878,class,NN,class
10879,lounge,NN,lounge
10880,Interior,NP,Interior
10881,747,NP,747
10882,giant,JJ,giant
10883,long-range,JJ,long-range
10884,airliner,NN,airliner
10885,4,CD,@card@
10886,jet,NN,jet
10887,engines,NNS,engine
10888,Boeing,NP,Boeing
10889,747,NP,747
10890,Jumbo,JJ,jumbo
10891,Jet,NP,Jet
10892,Aircraft,NP,Aircraft
10893,touch,VVP,touch
10894,down,RB,down
10895,reverse,VV,reverse
10896,thrust,NN,thrust
10897,taxi,NN,taxi
10898,Interior,NP,Interior
10899,747,NP,747
10900,giant,JJ,giant
10901,long-range,JJ,long-range
10902,airliner,NN,airliner
10903,4,CD,@card@
10904,jet,NN,jet
10905,engines,NNS,engine
10906,Bofors,NP,Bofors
10907,Guns,NNS,gun
10908,barrage,NN,barrage
10909,fired,VVD,fire
10910,cases,NNS,case
10911,falling,VVG,fall
10912,Bofors,NP,Bofors
10913,Guns,NNS,gun
10914,crew,VVD,crow
10915,clearing,VVG,clear
10916,up,RP,up
10917,40mm,JJ,40mm
10918,shell,NN,shell
10919,cases,NNS,case
10920,Bofors,NP,Bofors
10921,Guns,NNS,gun
10922,shells,NNS,shell
10923,fired,VVD,fire
10924,cases,NNS,case
10925,falling,VVG,fall
10926,Bombers,NNS,bomber
10927,overhead,JJ,overhead
10928,anti-aircraft,NN,anti-aircraft
10929,fire,NN,fire
10930,bombs,NNS,bomb
10931,fall,VVP,fall
10932,Bonfire,NP,Bonfire
10933,-,NN,-
10934,close,NN,close
10935,perspective,NN,perspective
10936,1F2,JJ,1F2
10937,reprocessed,VVN,reprocess
10938,Bonfire,NP,Bonfire
10939,-,NN,-
10940,close,NN,close
10941,perspective,NN,perspective
10942,2F2,JJ,2F2
10943,reprocessed,VVN,reprocess
10944,Bonfire,NN,bonfire
10945,atmosphere,NN,atmosphere
10946,with,IN,with
10947,children,NNS,child
10948,&,CC,&
10949,adults,NNS,adult
10950,chatting,VVG,chat
10951,nearby,RB,nearby
10952,Bonfire,NN,bonfire
10953,atmosphere,NN,atmosphere
10954,with,IN,with
10955,small,JJ,small
10956,children,NNS,child
10957,chatting,VVG,chat
10958,&,CC,&
10959,laughing,VVG,laugh
10960,nearby,RB,nearby
10961,Bong,NP,Bong
10962,doying,NN,doying
10963,Jews,NNS,jew
10964,harp,VVP,harp
10965,Specially,RB,specially
10966,created,VVN,create
10967,effect,NN,effect
10968,Bonnet,NN,bonnet
10969,closed,VVD,close
10970,three,CD,three
10971,times,NNS,time
10972,heavy,JJ,heavy
10973,and,CC,and
10974,light,JJ,light
10975,Bonnet,NN,bonnet
10976,opened,VVD,open
10977,three,CD,three
10978,times,NNS,time
10979,Bonnet,NN,bonnet
10980,opened,VVD,open
10981,three,CD,three
10982,second,JJ,second
10983,pause,NN,pause
10984,closed,VVD,close
10985,Booing,VVG,boo
10986,and,CC,and
10987,bleating,VVG,bleat
10988,Specially,RB,specially
10989,created,VVN,create
10990,effect,NN,effect
10991,Border,NP,Border
10992,Collie,NP,Collie
10993,growling,VVG,growl
10994,interior,NN,interior
10995,Bottle,NN,bottle
10996,filling,VVG,fill
10997,machine,NN,machine
10998,starts,VVZ,start
10999,and,CC,and
11000,operates,VVZ,operate
11001,bell,NN,bell
11002,sounds,VVZ,sound
11003,machine,NN,machine
11004,fades,NNS,fade
11005,at,IN,at
11006,end,NN,end
11007,Bottle,NN,bottle
11008,washing,NN,washing
11009,machine,NN,machine
11010,starts,NNS,start
11011,operates,VVZ,operate
11012,and,CC,and
11013,fades,VVZ,fade
11014,at,IN,at
11015,end,NN,end
11016,Bottle-top,JJ,Bottle-top
11017,tester,NN,tester
11018,Specially,RB,specially
11019,created,VVN,create
11020,effect,NN,effect
11021,Bottling,VVG,bottle
11022,plant,NN,plant
11023,Boulders,NNS,boulder
11024,falling,VVG,fall
11025,70ft,NP,70ft
11026,into,IN,into
11027,a,DT,a
11028,cavern,NN,cavern
11029,Five,CD,five
11030,takes,VVZ,take
11031,Boulogne,NP,Boulogne
11032,Rail,NP,Rail
11033,Terminal,NN,terminal
11034,atmosphere,NN,atmosphere
11035,with,IN,with
11036,steam,NN,steam
11037,trains,NNS,train
11038,Boulogne,NP,Boulogne
11039,Vegetable,NN,vegetable
11040,Market,NN,market
11041,general,JJ,general
11042,atmosphere,NN,atmosphere
11043,Boulonge,NP,Boulonge
11044,Traffic,NP,Traffic
11045,atmosphere,NN,atmosphere
11046,at,IN,at
11047,main,JJ,main
11048,harbour,NN,harbour
11049,intersection,NN,intersection
11050,Bournemouth,NP,Bournemouth
11051,Belle,NP,Belle
11052,train,NN,train
11053,passing,VVG,pass
11054,without,IN,without
11055,siren,NN,siren
11056,Southern,JJ,Southern
11057,Region,NN,region
11058,steam,NN,steam
11059,train,NN,train
11060,Bournemouth,NP,Bournemouth
11061,express,JJ,express
11062,train,NN,train
11063,passing,VVG,pass
11064,with,IN,with
11065,siren,NN,siren
11066,Southern,JJ,Southern
11067,Region,NN,region
11068,steam,NN,steam
11069,train,NN,train
11070,Bow,NN,bow
11071,wave,NN,wave
11072,Recorded,VVN,record
11073,at,IN,at
11074,front,NN,front
11075,of,IN,of
11076,moving,VVG,move
11077,tug,NN,tug
11078,Bow,NN,bow
11079,wave,NN,wave
11080,as,IN,as
11081,heard,VVN,hear
11082,from,IN,from
11083,Bowsprit,NN,bowsprit
11084,at,IN,at
11085,4,CD,@card@
11086,knots,NNS,knot
11087,9-knot,NN,9-knot
11088,wind,NN,wind
11089,STS,NP,STS
11090,Malcolm,NP,Malcolm
11091,Miller,NP,Miller
11092,Bow,NN,bow
11093,wave,NN,wave
11094,as,IN,as
11095,heard,VVN,hear
11096,from,IN,from
11097,Lee,NP,Lee
11098,Quarter,NN,quarter
11099,light,NN,light
11100,wind,NN,wind
11101,STS,NP,STS
11102,Malcolm,NP,Malcolm
11103,Miller,NP,Miller
11104,Bow,NN,bow
11105,wave,NN,wave
11106,with,IN,with
11107,engine,NN,engine
11108,in,IN,in
11109,background,NN,background
11110,On,IN,on
11111,board,NN,board
11112,a,DT,a
11113,2,CD,@card@
11114,400,CD,@card@
11115,h,NN,h
11116,p,NN,p
11117,paddle,NN,paddle
11118,steamer,NN,steamer
11119,Bowling,VVG,bowl
11120,alley,NN,alley
11121,in,IN,in
11122,German,JJ,German
11123,gasthof,NNS,gasthof
11124,being,VBG,be
11125,used,VVN,use
11126,No,DT,no
11127,speech,NN,speech
11128,Boys,NPS,Boys
11129,Comprehensive,NP,Comprehensive
11130,School,NP,School
11131,classroom,NN,classroom
11132,abusive,JJ,abusive
11133,remarks,NNS,remark
11134,thrown,VVN,throw
11135,at,IN,at
11136,teacher,NN,teacher
11137,Boys,NPS,Boys
11138,Comprehensive,NP,Comprehensive
11139,School,NP,School
11140,classroom,NN,classroom
11141,argumentative,JJ,argumentative
11142,atmosphere,NN,atmosphere
11143,Boys,NPS,Boys
11144,Comprehensive,NP,Comprehensive
11145,School,NP,School
11146,classroom,NN,classroom
11147,boys,NNS,boy
11148,entering,VVG,enter
11149,classroom,NN,classroom
11150,Boys,NPS,Boys
11151,Comprehensive,NP,Comprehensive
11152,School,NP,School
11153,classroom,NN,classroom
11154,boys,NNS,boy
11155,leaving,VVG,leave
11156,classroom,NN,classroom
11157,Boys,NPS,Boys
11158,Comprehensive,NP,Comprehensive
11159,School,NP,School
11160,classroom,NN,classroom
11161,boys,NNS,boy
11162,not,RB,not
11163,under,IN,under
11164,control,NN,control
11165,Boys,NPS,Boys
11166,Comprehensive,NP,Comprehensive
11167,School,NP,School
11168,classroom,NN,classroom
11169,boys,NNS,boy
11170,supposed,VVN,suppose
11171,to,TO,to
11172,be,VB,be
11173,working,VVG,work
11174,Boys,NPS,Boys
11175,Comprehensive,NP,Comprehensive
11176,School,NP,School
11177,classroom,NN,classroom
11178,junior,JJ,junior
11179,boys,NNS,boy
11180,in,IN,in
11181,noisy,JJ,noisy
11182,classroom,NN,classroom
11183,Boys,NPS,Boys
11184,Comprehensive,NP,Comprehensive
11185,School,NP,School
11186,classroom,NN,classroom
11187,sudden,JJ,sudden
11188,change,NN,change
11189,from,IN,from
11190,rowdy,NN,rowdy
11191,to,TO,to
11192,silent,JJ,silent
11193,atmosphere,NN,atmosphere
11194,Boys,NPS,Boys
11195,School,NP,School
11196,gymnasium,NN,gymnasium
11197,atmosphere,NN,atmosphere
11198,in,IN,in
11199,gym,NN,gym
11200,while,IN,while
11201,boys,NNS,boy
11202,play,VVP,play
11203,basketball,NN,basketball
11204,with,IN,with
11205,some,DT,some
11206,indistinct,JJ,indistinct
11207,speech,NN,speech
11208,&,CC,&
11209,coach,NN,coach
11210,s,NNS,s
11211,whistle,VVP,whistle
11212,blown,VVN,blow
11213,occasionally,RB,occasionally
11214,Boys,NPS,Boys
11215,School,NP,School
11216,hall,NN,hall
11217,constant,JJ,constant
11218,background,NN,background
11219,of,IN,of
11220,boys,NNS,boy
11221,in,IN,in
11222,hall,NN,hall
11223,Boys,NPS,Boys
11224,School,NP,School
11225,atmosphere,NN,atmosphere
11226,in,IN,in
11227,assembly,NN,assembly
11228,with,IN,with
11229,loud,JJ,loud
11230,indistinct,JJ,indistinct
11231,chatter,NN,chatter
11232,Bell,NP,Bell
11233,rings,VVZ,ring
11234,at,IN,at
11235,0m25s,NNS,0m25s
11236,Boys,NPS,Boys
11237,School,NP,School
11238,boys,NNS,boy
11239,enter,VVP,enter
11240,school,NN,school
11241,with,IN,with
11242,indistinct,JJ,indistinct
11243,speech,NN,speech
11244,&,CC,&
11245,footsteps,NNS,footstep
11246,Bell,NP,Bell
11247,sounds,VVZ,sound
11248,at,IN,at
11249,2m22s,JJ,2m22s
11250,Boys,NPS,Boys
11251,School,NP,School
11252,boys,NNS,boy
11253,entering,VVG,enter
11254,school,NN,school
11255,with,IN,with
11256,indistinct,JJ,indistinct
11257,speech,NN,speech
11258,and,CC,and
11259,footsteps,NNS,footstep
11260,Boys,NPS,Boys
11261,School,NP,School
11262,boys,NNS,boy
11263,in,IN,in
11264,showers,NNS,shower
11265,with,IN,with
11266,indistinct,JJ,indistinct
11267,speech,NN,speech
11268,in,IN,in
11269,foreground,NN,foreground
11270,Wide,NP,Wide
11271,perspective,NN,perspective
11272,recording,NN,recording
11273,Boys,NPS,Boys
11274,School,NP,School
11275,boys,NNS,boy
11276,leave,VVP,leave
11277,hall,NN,hall
11278,&,CC,&
11279,pass,VV,pass
11280,along,RP,along
11281,corridor,NN,corridor
11282,with,IN,with
11283,indistinct,JJ,indistinct
11284,chatter,NN,chatter
11285,&,CC,&
11286,footsteps,NNS,footstep
11287,Boys,NPS,Boys
11288,School,NP,School
11289,juniors,NNS,junior
11290,at,IN,at
11291,play,NN,play
11292,in,IN,in
11293,schoolyard,NN,schoolyard
11294,with,IN,with
11295,indistinct,JJ,indistinct
11296,chatter,NN,chatter
11297,&,CC,&
11298,calls,NNS,call
11299,Boys,NNS,boy
11300,Secondary,JJ,secondary
11301,School,NP,School
11302,boys,NNS,boy
11303,enter,VVP,enter
11304,dining,VVG,dine
11305,hall,NN,hall
11306,&,CC,&
11307,atmosphere,NN,atmosphere
11308,before,IN,before
11309,start,NN,start
11310,of,IN,of
11311,meal,NN,meal
11312,Boys,NNS,boy
11313,Secondary,JJ,secondary
11314,School,NP,School
11315,boys,NNS,boy
11316,playing,VVG,play
11317,during,IN,during
11318,break,NN,break
11319,time,NN,time
11320,Boys,NNS,boy
11321,Secondary,JJ,secondary
11322,School,NP,School
11323,boys,NNS,boy
11324,playing,VVG,play
11325,in,IN,in
11326,outdoor,JJ,outdoor
11327,swimming,NN,swimming
11328,pool,NN,pool
11329,with,IN,with
11330,younger,JJR,young
11331,mixed,JJ,mixed
11332,children,NNS,child
11333,also,RB,also
11334,audible,JJ,audible
11335,Boys,NNS,boy
11336,Secondary,JJ,secondary
11337,School,NP,School
11338,Grace,NP,Grace
11339,said,VVD,say
11340,&,CC,&
11341,atmosphere,NN,atmosphere
11342,during,IN,during
11343,meal,NN,meal
11344,Bracket,NN,bracket
11345,clock,NN,clock
11346,striking,VVG,strike
11347,eight,CD,eight
11348,o,NN,o
11349,clock,NN,clock
11350,Bracket,NN,bracket
11351,clock,NN,clock
11352,striking,JJ,striking
11353,eleven,NN,eleven
11354,o,NN,o
11355,clock,NN,clock
11356,Bracket,NN,bracket
11357,clock,NN,clock
11358,striking,VVG,strike
11359,five,CD,five
11360,o,NN,o
11361,clock,NN,clock
11362,Bracket,NN,bracket
11363,clock,NN,clock
11364,striking,VVG,strike
11365,four,CD,four
11366,o,NN,o
11367,clock,NN,clock
11368,Bracket,NN,bracket
11369,clock,NN,clock
11370,striking,VVG,strike
11371,nine,CD,nine
11372,o,NN,o
11373,clock,NN,clock
11374,Bracket,NN,bracket
11375,clock,NN,clock
11376,striking,VVG,strike
11377,one,CD,one
11378,o,NN,o
11379,clock,NN,clock
11380,Bracket,NN,bracket
11381,clock,NN,clock
11382,striking,VVG,strike
11383,seven,CD,seven
11384,o,NN,o
11385,clock,NN,clock
11386,Bracket,NN,bracket
11387,clock,NN,clock
11388,striking,VVG,strike
11389,six,CD,six
11390,o,NN,o
11391,clock,NN,clock
11392,Bracket,NN,bracket
11393,clock,NN,clock
11394,striking,VVG,strike
11395,ten,CD,ten
11396,o,NN,o
11397,clock,NN,clock
11398,Bracket,NN,bracket
11399,clock,NN,clock
11400,striking,VVG,strike
11401,three,CD,three
11402,o,NN,o
11403,clock,NN,clock
11404,Bracket,NN,bracket
11405,clock,NN,clock
11406,striking,JJ,striking
11407,twelve,NN,twelve
11408,o,NN,o
11409,clock,NN,clock
11410,Bracket,NN,bracket
11411,clock,NN,clock
11412,striking,VVG,strike
11413,two,CD,two
11414,o,NN,o
11415,clock,NN,clock
11416,Bracket,NN,bracket
11417,clock,NN,clock
11418,ticking,NN,ticking
11419,Brake,NP,Brake
11420,van,NP,van
11421,passing,VVG,pass
11422,Steam,NN,steam
11423,train,NN,train
11424,Branding,VVG,brand
11425,iron,NN,iron
11426,Horror,NN,horror
11427,Spot,NN,spot
11428,Effect,NN,effect
11429,Brands,NPS,Brands
11430,Hatch,NP,Hatch
11431,Formula,NN,formula
11432,Two,CD,two
11433,cars,NNS,car
11434,moving,VVG,move
11435,from,IN,from
11436,pits,NNS,pit
11437,to,TO,to
11438,track,VV,track
11439,Brands,NPS,Brands
11440,Hatch,NP,Hatch
11441,Formula,NN,formula
11442,Two,CD,two
11443,cars,NNS,car
11444,racing,VVG,race
11445,down,RP,down
11446,the,DT,the
11447,straight,JJ,straight
11448,Break,NN,break
11449,drilling,NN,drilling
11450,Breaking,VVG,break
11451,down,RP,down
11452,door,NN,door
11453,Specially,RB,specially
11454,created,VVN,create
11455,effect,NN,effect
11456,Breaking,VVG,break
11457,ice,NN,ice
11458,in,IN,in
11459,bucket,NN,bucket
11460,Breaking,VVG,break
11461,large,JJ,large
11462,stones,NNS,stone
11463,Breaking,VVG,break
11464,small,JJ,small
11465,stones,NNS,stone
11466,Breeze,NN,breeze
11467,Brewery,NP,Brewery
11468,grist,NN,grist
11469,mill,NN,mill
11470,Brewery,NP,Brewery
11471,Jacobs,NP,Jacobs
11472,ladder,NN,ladder
11473,with,IN,with
11474,occasional,JJ,occasional
11475,distant,JJ,distant
11476,voices,NNS,voice
11477,Brewery,NP,Brewery
11478,tun,NN,tun
11479,room,NN,room
11480,with,IN,with
11481,vessels,NNS,vessel
11482,being,VBG,be
11483,scrubbed,VVN,scrub
11484,out,RP,out
11485,Brick,NN,brick
11486,wall,NN,wall
11487,demolition,NN,demolition
11488,Brickworks,NNS,brickwork
11489,Clayton,NP,Clayton
11490,Goodfellows,NP,Goodfellows
11491,junior,JJ,junior
11492,brick-stamping,NN,brick-stamping
11493,machine,NN,machine
11494,operating,VVG,operate
11495,Brickworks,NNS,brickwork
11496,diesel,JJ,diesel
11497,heavy-duty,JJ,heavy-duty
11498,fork-lift,NN,fork-lift
11499,truck,NN,truck
11500,operating,VVG,operate
11501,load,NN,load
11502,collapses,NNS,collapse
11503,&,CC,&
11504,falls,NNS,fall
11505,Brickworks,NNS,brickwork
11506,diesel,JJ,diesel
11507,heavy-duty,JJ,heavy-duty
11508,fork-lift,NN,fork-lift
11509,truck,NN,truck
11510,operating,VVG,operate
11511,loading,NN,loading
11512,bricks,NNS,brick
11513,on,IN,on
11514,to,TO,to
11515,lorry,NN,lorry
11516,Brickworks,NNS,brickwork
11517,roller,NN,roller
11518,clay-crushing,NN,clay-crushing
11519,machine,NN,machine
11520,operating,VVG,operate
11521,Brickworks,NNS,brickwork
11522,stacking,VVG,stack
11523,&,CC,&
11524,sorting,VVG,sort
11525,bricks,NNS,brick
11526,throwing,VVG,throw
11527,out,RP,out
11528,rejects,NNS,reject
11529,with,IN,with
11530,birdsong,NN,birdsong
11531,in,IN,in
11532,background,NN,background
11533,Brickworks,NNS,brickwork
11534,warning,VVG,warn
11535,hooter,NN,hooter
11536,works,NNS,work
11537,start,VVP,start
11538,up,RP,up
11539,Brickworks,NNS,brickwork
11540,works,NNS,work
11541,closing,VVG,close
11542,down,RP,down
11543,Bristle-backed,JJ,Bristle-backed
11544,duck,NN,duck
11545,Specially,RB,specially
11546,created,VVN,create
11547,effect,NN,effect
11548,Bristol,NP,Bristol
11549,Beaufighter,NP,Beaufighter
11550,Exerior,NP,Exerior
11551,Squadron,NN,squadron
11552,diving,NN,diving
11553,in,IN,in
11554,succession,NN,succession
11555,Bristol,NP,Bristol
11556,Beaufighter,NP,Beaufighter
11557,Exterior,NP,Exterior
11558,Four,NP,Four
11559,planes,NNS,plane
11560,diving,VVG,dive
11561,in,IN,in
11562,succession,NN,succession
11563,with,IN,with
11564,bursts,NNS,burst
11565,of,IN,of
11566,machine,NN,machine
11567,gun,NN,gun
11568,&,CC,&
11569,cannon,NN,cannon
11570,fire,NN,fire
11571,Bristol,NP,Bristol
11572,Beaufighter,NP,Beaufighter
11573,Exterior,NP,Exterior
11574,Start,NP,Start
11575,up,IN,up
11576,engines,NNS,engine
11577,alternately,RB,alternately
11578,with,IN,with
11579,orders,NNS,order
11580,warm,JJ,warm
11581,up,RP,up
11582,&,CC,&
11583,switch,VV,switch
11584,off,RP,off
11585,with,IN,with
11586,orders,NNS,order
11587,Bristol,NP,Bristol
11588,Britannia,NP,Britannia
11589,on-board,NN,on-board
11590,pre-flight,NN,pre-flight
11591,announcement,NN,announcement
11592,Bristol,NP,Bristol
11593,Britannia,NP,Britannia
11594,exterior,JJ,exterior
11595,engines,NNS,engine
11596,running,VVG,run
11597,in,IN,in
11598,foreground,NN,foreground
11599,Long,NP,Long
11600,/,SYM,/
11601,medium,JJ,medium
11602,range,NN,range
11603,airliner,NN,airliner
11604,four,CD,four
11605,turboprop,NN,turboprop
11606,jet,NN,jet
11607,engines,NNS,engine
11608,Bristol,NP,Bristol
11609,Britannia,NP,Britannia
11610,exterior,JJ,exterior
11611,landing,NN,landing
11612,Long,NP,Long
11613,/,SYM,/
11614,medium,JJ,medium
11615,range,NN,range
11616,airliner,NN,airliner
11617,four,CD,four
11618,turboprop,NN,turboprop
11619,jet,NN,jet
11620,engines,NNS,engine
11621,Bristol,NP,Bristol
11622,Britannia,NP,Britannia
11623,exterior,NN,exterior
11624,passing,VVG,pass
11625,low,JJ,low
11626,overhead,IN,overhead
11627,Long,NP,Long
11628,/,SYM,/
11629,medium,JJ,medium
11630,range,NN,range
11631,airliner,NN,airliner
11632,four,CD,four
11633,turboprop,NN,turboprop
11634,jet,NN,jet
11635,engines,NNS,engine
11636,Bristol,NP,Bristol
11637,Britannia,NP,Britannia
11638,exterior,JJ,exterior
11639,passing,NN,passing
11640,overhead,IN,overhead
11641,Long,NP,Long
11642,/,SYM,/
11643,medium,JJ,medium
11644,range,NN,range
11645,airliner,NN,airliner
11646,four,CD,four
11647,turboprop,NN,turboprop
11648,jet,NN,jet
11649,engines,NNS,engine
11650,Bristol,NP,Bristol
11651,Britannia,NP,Britannia
11652,exterior,JJ,exterior
11653,start,NN,start
11654,up,IN,up
11655,Long,NP,Long
11656,/,SYM,/
11657,medium,JJ,medium
11658,range,NN,range
11659,airliner,NN,airliner
11660,four,CD,four
11661,turboprop,NN,turboprop
11662,jet,NN,jet
11663,engines,NNS,engine
11664,Bristol,NP,Bristol
11665,Britannia,NP,Britannia
11666,exterior,JJ,exterior
11667,take,NN,take
11668,off,IN,off
11669,Long,NP,Long
11670,/,SYM,/
11671,medium,JJ,medium
11672,range,NN,range
11673,airliner,NN,airliner
11674,four,CD,four
11675,turboprop,NN,turboprop
11676,jet,NN,jet
11677,engines,NNS,engine
11678,Bristol,NP,Bristol
11679,Britannia,NP,Britannia
11680,exterior,JJ,exterior
11681,take,NN,take
11682,off,IN,off
11683,Long,NP,Long
11684,/,SYM,/
11685,medium,JJ,medium
11686,range,NN,range
11687,airliner,NN,airliner
11688,four,CD,four
11689,turboprop,NN,turboprop
11690,jet,NN,jet
11691,engines,NNS,engine
11692,Bristol,NP,Bristol
11693,Britannia,NP,Britannia
11694,exterior,JJ,exterior
11695,taxi,NN,taxi
11696,away,IN,away
11697,Long,NP,Long
11698,/,SYM,/
11699,medium,JJ,medium
11700,range,NN,range
11701,airliner,NN,airliner
11702,four,CD,four
11703,turboprop,NN,turboprop
11704,jet,NN,jet
11705,engines,NNS,engine
11706,Bristol,NP,Bristol
11707,Britannia,NP,Britannia
11708,exterior,JJ,exterior
11709,taxi-ing,NN,taxi-ing
11710,in,IN,in
11711,engines,NNS,engine
11712,switched,VVN,switch
11713,off,IN,off
11714,Long,NP,Long
11715,/,SYM,/
11716,medium,JJ,medium
11717,range,NN,range
11718,airliner,NN,airliner
11719,four,CD,four
11720,turboprop,NN,turboprop
11721,jet,NN,jet
11722,engines,NNS,engine
11723,Bristol,NP,Bristol
11724,Britannia,NP,Britannia
11725,exterior,JJ,exterior
11726,taxi-ing,NN,taxi-ing
11727,to,TO,to
11728,take,VV,take
11729,off,IN,off
11730,Long,NP,Long
11731,/,SYM,/
11732,medium,JJ,medium
11733,range,NN,range
11734,airliner,NN,airliner
11735,four,CD,four
11736,turboprop,NN,turboprop
11737,jet,NN,jet
11738,engines,NNS,engine
11739,Bristol,NP,Bristol
11740,Britannia,NP,Britannia
11741,interior,JJ,interior
11742,constant,JJ,constant
11743,flight,NN,flight
11744,Long,NP,Long
11745,/,SYM,/
11746,medium,JJ,medium
11747,range,NN,range
11748,airliner,NN,airliner
11749,four,CD,four
11750,turboprop,NN,turboprop
11751,jet,NN,jet
11752,engines,NNS,engine
11753,Bristol,NP,Bristol
11754,Britannia,NP,Britannia
11755,interior,JJ,interior
11756,descent,NN,descent
11757,Long,NP,Long
11758,/,SYM,/
11759,medium,JJ,medium
11760,range,NN,range
11761,airliner,NN,airliner
11762,four,CD,four
11763,turboprop,NN,turboprop
11764,jet,NN,jet
11765,engines,NNS,engine
11766,Bristol,NP,Bristol
11767,Britannia,NP,Britannia
11768,interior,JJ,interior
11769,start,NN,start
11770,&,CC,&
11771,run,VV,run
11772,up,RP,up
11773,engines,NNS,engine
11774,taxi,VVP,taxi
11775,Long,NP,Long
11776,/,SYM,/
11777,medium,JJ,medium
11778,range,NN,range
11779,airliner,NN,airliner
11780,four,CD,four
11781,turboprop,NN,turboprop
11782,jet,NN,jet
11783,engines,NNS,engine
11784,Bristol,NP,Bristol
